"*Action(SiteID=US|Country=US|Currency=USD|Version=1193)","Custom label (SKU)","Category ID","Title","Start price","Quantity","Item photo URL","Condition ID","Description","Format","Duration","Best Offer Enabled","Best Offer Auto Accept Price","Minimum Best Offer Price","Immediate pay required","Location","Shipping profile name","Return profile name","Payment profile name","C:Original/Reproduction"
"Add","82741","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids HAN","2500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82741_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82741_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82756","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids HAN","2500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82756_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82756_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82759","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids HAN","1500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82759_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82759_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82760","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids HAN","2500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82760_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82760_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82790","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","2000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82790_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82790_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82792","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","1500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82792_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82792_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82794","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","1500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82794_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82794_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82795","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","2000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82795_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82795_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82796","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","1500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82796_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82796_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82798","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","1500","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82798_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82798_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82800","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids SEUNGMIN","2000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82800_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82800_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82815","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids CHANGBIN","1000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82815_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82815_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82816","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids CHANGBIN","2000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82816_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82816_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82817","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids CHANGBIN","3000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82817_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82817_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
"Add","82818","108857","Stray Kids DICON D'FESTA MINI EDITION : Stray Kids CHANGBIN","2000","1","https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82818_front.jpg|https://pub-c297f3c41a38429e9973fe44e9bf5f2e.r2.dev/stray-kids/82818_back.jpg","1000","DICON D'FESTA MINI EDITION : Stray Kids","FixedPrice","GTC","","","","","","배송 - (ID: 410313736022)","No Return Accepted (411199464022) - (ID: 411199464022)","지불 - (ID: 410312934022)","Original"
